,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
2132,2133,EMTY,ProShares Decline of the Retail Store ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,-1.78,11.72,2.28,24.42,3.52,,0.6,1.15,1.16,-0.87,4.09,11.69,-3.88,13.81,-5.3,29.45,52.93,-0.43,-0.34,,4250.0,0.89,38.28,-0.77,3732.0,-,,10/26/2017
2133,2134,EMX,EMX Royalty Corporation,Basic Materials,Industrial Metals & Minerals,Canada,99870000.0,,,,,3.79,,,,,-0.11,,,,,,,14.3,81860000.0,67440000.0,13.94,,31.1,,0.06,0.45,,,,,,,,,,,0.64,-2.79,4.27,12.96,16.06,7.96,,0.04,1.97,3.38,-0.95,1.81,2.4,-6.87,12.96,-16.97,22.0,50.5,-0.81,0.82,,87410.0,0.55,1.22,0.0,47847.0,-,,8/28/2007
2134,2135,EMXC,iShares MSCI Emerging Markets ex China ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,5.55,2.28,8.85,-4.11,8.99,,0.34,0.1,0.36,2.21,2.77,3.65,-1.63,7.85,-2.69,11.61,60.99,-0.09,0.13,,4780.0,0.08,49.85,0.04,391.0,-,,7/26/2017
2135,2136,ENB,Enbridge Inc.,Basic Materials,Oil & Gas Pipelines,Canada,71990000000000.0,22.34,17.49,3.56,2.03,1.52,134.28,,6.04,170.1,1.62,360.6,4.77,21.9,6.28,7.1,255.5,1.0,2000000000000.0,2000000000000.0,9.2,0.0,70.5,0.16,0.92,5.58,2.4,6.8,3.6,0.6,0.6,0.97,1.05,38.0,14.1,8.5,2.62,-1.88,-0.5,18.68,13.89,16.09,0.58,0.56,1.33,1.61,2.74,-0.61,3.74,-5.15,6.06,-5.15,25.18,56.24,1.41,0.11,2.3,3290000.0,1.28,36.08,1.52,4183726.0,Aug 09/b,41.66,3/27/1990
2136,2137,ENBL,"Enable Midstream Partners, LP",Basic Materials,Oil & Gas Pipelines,USA,5850000000000.0,12.12,12.51,3.15,1.68,0.83,325.09,,9.26,112.1,1.13,20.7,2.62,-22.1,3.85,6.6,7.6,6.3,426820000.0,156950000.0,0.3,-2.96,18.8,-6.65,1.91,5.49,4.1,6.8,5.6,0.2,0.2,0.39,0.61,47.6,19.4,14.2,2.16,5.38,-4.26,4.1,-20.89,1.33,1.24,0.29,2.12,2.15,4.22,1.74,-5.64,-3.72,7.95,-28.85,11.37,58.25,1.93,0.0,2.5,547130.0,1.35,13.71,1.93,730211.0,Jul 31/b,16.75,4/11/2014
2137,2138,ENDP,Endo International plc,Healthcare,Drug Manufacturers - Other,Ireland,927290000.0,,1.72,,0.31,,0.94,17.2,,,-2.1,24.9,9.49,-35.5,-13.25,6.8,97.5,2.8,225070000.0,203420000.0,0.8,-1.9,97.6,-0.42,10.89,5.72,-5.3,170.9,-5.7,1.3,1.1,,,45.4,2.3,-18.4,7.29,-20.46,-48.69,-43.64,-54.77,-43.56,1.18,0.34,7.7,7.51,-5.77,-30.88,-59.96,-51.81,16.38,-77.73,16.38,34.99,0.73,-0.24,2.8,3870000.0,1.1,4.12,0.49,4266651.0,Aug 08/b,9.52,7/18/2000
2138,2139,ENFC,Entegra Financial Corp.,Financial,Regional - Southeast Banks,USA,206320000.0,14.87,14.34,,3.21,1.22,0.93,89.71,,0.0,2.03,77.6,6.06,101.7,,14.8,7.8,11.5,6850000.0,6650000.0,3.9,0.0,51.8,4.38,0.52,0.56,0.9,8.8,24.1,,,0.14,0.14,,74.5,22.0,1.52,1.48,34.16,50.9,6.24,45.16,0.7,0.11,0.55,0.31,1.5,3.34,21.6,1.07,29.05,-1.89,57.04,76.79,1.14,0.0,3.0,61430.0,1.06,30.12,1.14,64943.0,Jul 25/a,27.0,10/1/2014
2139,2140,ENFR,Alerian Energy Infrastructure ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,2.36,-1.61,20.57,-1.22,18.8,,0.22,0.76,0.72,1.39,0.41,2.08,-2.59,3.65,-8.29,25.32,54.56,0.54,0.7,,9880.0,0.76,21.55,1.24,7466.0,-,,11/1/2013
2140,2141,ENG,ENGlobal Corporation,Services,Technical Services,USA,24400000.0,,,,0.46,1.7,3.34,40.66,,,-0.2,65.3,,-19.7,,-20.4,18.6,-7.6,27110000.0,12960000.0,0.2,0.0,24.1,-5.66,0.05,0.12,-22.5,-32.1,-34.1,2.5,,0.06,0.06,12.9,-9.2,-10.3,-2.17,7.14,76.44,42.41,-25.62,57.87,1.81,0.09,6.4,12.85,1.4,12.62,11.68,-23.73,47.4,-36.62,87.5,54.63,5.88,-4.37,,55320.0,0.22,0.9,1.26,13768.0,Aug 12/b,,5/9/1997
2141,2142,ENIA,Enel Americas S.A.,Utilities,Electric Utilities,Chile,12990000000000.0,8.6,7.68,1.62,0.93,1.47,6.25,22.31,7.67,31.6,1.03,72.0,16.08,-6.3,5.3,,-6.1,31.2,1460000000000.0,658220000.0,62.0,0.0,9.8,18.02,0.55,4.44,4.4,18.1,15.4,0.7,0.7,0.75,0.97,38.5,17.4,8.5,5.85,11.99,-0.67,-0.45,-0.22,-0.56,0.56,0.19,2.22,1.92,6.72,6.91,2.24,-1.77,16.86,-15.68,27.44,66.45,3.38,1.06,2.3,808570.0,1.24,8.87,4.48,1018083.0,Jul 25,10.39,10/20/1993
2142,2143,ENIC,Enel Chile S.A.,Utilities,Electric Utilities,Chile,6650000000000.0,9.64,9.82,,1.69,1.24,23.53,22.36,7.95,0.0,0.5,-20.5,2.31,3.9,,7.2,76.7,39.5,1390000000000.0,526690000.00000006,,,3.4,-2.42,0.24,3.5,6.4,13.5,9.5,1.0,1.0,0.47,0.54,51.1,30.6,17.4,0.21,5.52,-7.72,-1.65,-0.83,-3.43,,0.12,2.91,2.42,1.57,1.61,-2.29,-9.21,11.16,-14.95,14.49,53.49,0.63,0.21,2.7,367810.0,1.14,4.78,0.84,418178.0,-,4138.84,4/21/2016
2143,2144,ENJ,"Entergy Utility Group, Inc. 1ST MTG 5% 52",Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,0.24,2.24,5.91,1.94,6.1,,0.12,0.51,0.29,0.03,0.52,3.85,-0.95,2.16,-0.95,21.84,51.85,-0.59,-0.32,,2260.0,0.66,25.1,-0.91,1483.0,-,,12/5/2012
2144,2145,ENLC,"EnLink Midstream, LLC",Basic Materials,Oil & Gas Pipelines,USA,4790000000000.0,,27.42,,0.62,1.14,6848.23,,11.1,,-0.59,-702.4,19.48,-16.0,,27.4,-759.3,1.0,475100000.0,256360000.0,0.9,0.0,61.21,,4.28,5.2,-1.9,-9.1,2.2,1.0,0.9,1.29,1.29,22.4,-0.5,-2.6,2.64,-3.81,-21.05,6.43,-38.48,6.32,1.97,0.27,2.2,2.55,0.24,-7.15,-16.95,-20.77,5.32,-43.94,13.4,46.83,2.44,0.1,2.6,2110000.0,1.02,10.09,2.54,2141889.0,Aug 06/a,13.39,1/13/2004
2145,2146,ENLV,Enlivex Therapeutics Ltd.,Healthcare,Biotechnology,Israel,205330000.0,,,,,0.77,15.1,,,,-12.84,32.6,,-24.1,,,-135.9,,9550000.0,8610000.0,0.95,,0.8,-1.29,0.25,1.9,,,,3.8,3.8,0.0,0.0,,,,26.32,82.0,76.08,193.84,53.57,247.31,1.66,1.39,6.28,8.53,41.99,71.57,100.93,4.98,172.5,4.98,247.31,76.72,5.81,0.1,,11160.0,2.61,21.5,5.91,32867.0,-,9.0,3/26/2019
2146,2147,ENO,"Entergy Utility Group, Inc. 1ST MTG BD 66",Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,0.34,-1.72,6.56,1.04,5.36,,0.14,0.54,0.48,0.06,0.73,2.31,-0.45,2.29,-7.42,9.75,54.88,0.65,-0.11,,12480.0,3.17,26.34,0.53,38498.0,-,,1/16/2018
2147,2148,ENOB,Enochian Biosciences Inc.,Healthcare,Biotechnology,USA,178020000.0,,,,,1.16,17.28,,,,-0.82,-138.8,,-8.8,,,-6.3,,39560000.0,13820000.0,0.1,,2.4,,3.09,9.62,-17.1,-19.9,,6.9,6.9,0.0,0.0,,,,-17.13,-33.23,-35.16,-37.47,-11.76,-35.71,0.16,0.52,12.16,9.66,-20.12,-24.25,-31.85,-33.82,0.0,-52.63,35.54,29.15,-2.6,0.65,,44410.0,13.33,4.5,-1.96,493455.0,-,,10/18/2018
2148,2149,ENOR,iShares MSCI Norway ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.06,0.74,-2.79,8.12,-10.83,5.75,,0.27,0.58,0.64,-0.23,-1.95,-4.59,-7.65,3.04,-18.02,9.82,47.1,-0.37,0.12,,16620.0,0.54,24.38,-0.25,8899.0,-,,1/24/2012
2149,2150,ENPH,"Enphase Energy, Inc.",Technology,Semiconductor Equipment & Materials,USA,1980000000000.0,,27.92,,5.7,140.23,25.29,75.97,,,-0.04,12.4,29.31,28.4,,6.3,145.6,43.1,108350000.0,84810000.0,2.1,-8.27,53.6,14.81,17.53,4.91,-1.2,368.0,0.2,1.5,1.4,4.64,4.85,31.6,3.3,-1.1,3.34,15.6,97.51,272.04,167.69,285.41,0.89,0.85,5.47,4.83,7.33,24.59,115.26,-4.7,99.23,-4.7,392.7,62.37,1.5,0.22,2.3,3030000.0,2.34,18.23,1.73,6928834.0,Jul 30/a,16.94,3/30/2012
2150,2151,ENR,"Energizer Holdings, Inc.",Consumer Goods,Personal Products,USA,2670000000000.0,51.52,11.58,6.78,1.35,4.03,8.02,,3.11,250.2,0.75,-33.0,13.62,3.2,7.6,-2.2,-844.5,48.6,69110000.0,63580000.0,0.1,3.25,90.2,11.14,15.05,10.96,0.5,9.9,5.4,2.1,1.7,5.51,5.54,43.0,2.8,1.0,-0.26,-9.74,-14.0,-14.36,-37.79,-14.42,0.58,1.34,2.76,3.12,-6.14,-12.5,-21.13,-21.38,3.34,-41.07,3.34,35.96,0.57,0.52,2.4,873490.0,1.85,38.64,1.1,1586227.0,Aug 06/b,55.8,6/12/2015
2151,2152,ENS,EnerSys,Industrial Goods,Industrial Electrical Equipment,USA,2940000000000.0,22.01,10.84,2.2,1.05,2.29,9.81,30.02,1.02,18.5,3.11,-32.2,9.48,2.5,10.0,2.6,-96.8,16.6,42860000.0,42400000.0,1.6,-3.39,,0.4,2.65,3.3,5.7,12.9,7.7,2.5,1.7,0.76,0.81,24.7,7.6,5.7,4.18,17.11,5.13,-10.0,-9.92,-11.74,1.52,1.56,2.16,2.36,8.97,6.07,-8.41,-5.73,23.4,-23.74,23.4,66.28,1.27,0.37,1.0,340050.0,1.77,68.5,1.65,591640.0,May 16/a,94.0,8/2/2004
2152,2153,ENSG,"The Ensign Group, Inc.",Healthcare,Long-Term Care Facilities,USA,2980000000000.0,32.38,22.77,2.16,1.42,4.78,71.38,23.17,0.33,9.9,1.76,102.1,10.47,24.1,15.0,17.7,13.7,11.6,52420000.0,50070000.0,1.6,-3.82,83.3,-0.75,1.84,3.05,6.8,16.6,12.7,1.1,1.1,0.38,0.4,15.5,6.4,4.6,0.71,6.39,11.19,48.54,55.14,46.74,0.83,1.63,3.1,2.8,2.63,5.63,22.45,-2.45,23.58,-2.45,64.08,58.62,1.66,-0.52,2.2,302280.0,2.46,56.92,1.14,727641.0,Aug 05/a,57.0,11/9/2007
2153,2154,ENSV,Enservco Corporation,Basic Materials,Independent Oil & Gas,USA,22310000.0,,5.37,,0.43,2.21,,,,,-0.04,9.2,600.0,-23.4,20.0,0.2,123.5,29.1,59310000.0,45630000.0,0.5,7.3,17.6,-4.39,0.9,2.59,-8.3,-52.1,-5.3,2.4,2.4,4.23,4.68,23.4,-0.2,-6.9,-17.21,-19.57,-29.04,10.78,-69.42,1.69,1.79,0.04,9.85,9.49,-12.57,-16.78,-29.71,-47.76,1.89,-70.39,13.97,37.89,-5.98,-2.46,,159320.0,0.75,0.38,-8.29,120049.0,May 15/a,1.32,1/8/1997
2154,2155,ENT,Global Eagle Entertainment Inc.,Services,Entertainment - Diversified,USA,55800000.0,,,,0.08,,2.68,,,,-2.57,36.4,24.8,-3.6,15.0,20.0,2.9,6.5,85850000.0,71900000.0,5.1,-80.66,87.8,2.1,4.47,2.69,,,-23.4,0.8,0.6,,,19.6,,,-7.74,-4.41,-8.37,-68.6,-75.93,-70.85,1.29,0.11,18.71,19.8,3.06,-10.7,-65.1,-51.49,56.06,-79.43,56.06,49.01,8.33,-0.65,3.3,1200000.0,0.43,0.65,7.63,534398.0,Aug 13/a,1.5,6/17/2011
2155,2156,ENTA,"Enanta Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1650000000000.0,22.73,,,7.05,3.78,4.45,18.71,,0.0,3.71,302.0,-120.4,49.5,,45.2,-67.7,-10.0,19540000.0,14810000.0,5.5,-6.87,90.9,5.12,14.58,11.44,18.2,19.3,17.9,20.7,20.7,0.0,0.0,,35.8,33.3,-2.47,-7.62,-11.66,18.56,-25.0,19.13,1.04,3.56,3.57,4.2,-5.69,-5.45,-1.56,-16.68,4.79,-33.96,31.67,43.26,0.57,0.07,2.4,188730.0,2.26,84.38,0.64,418509.0,Aug 06/a,109.0,3/21/2013
2156,2157,ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,USA,5160000000000.0,24.49,16.62,1.5,3.28,5.05,15.06,47.57,0.75,18.1,1.52,60.1,15.66,26.0,16.34,17.5,-41.9,6.5,138160000.0,134520000.0,1.0,-10.48,,3.65,6.3,5.33,9.8,20.8,14.2,4.3,3.1,0.93,0.94,45.8,16.5,13.7,-1.3,8.17,4.57,39.78,10.74,33.79,1.42,1.04,2.48,2.93,1.95,-1.2,14.77,-11.16,10.58,-11.16,59.56,50.1,-2.46,0.55,2.1,1590000.0,13.32,37.32,-1.92,17789174.0,Jul 25/b,44.0,7/11/2000
2157,2158,ENTR,ERShares Entrepreneur 30 ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78,5.04,3.22,26.32,-0.6,24.67,,0.18,0.25,0.56,2.47,0.82,6.24,-4.3,9.48,-4.3,34.11,54.37,0.4,0.12,,1840.0,0.22,17.47,0.52,416.0,-,,10/26/2017
2158,2159,ENTX,Entera Bio Ltd.,Healthcare,Biotechnology,Israel,40200000.0,,,,80.4,5.13,4.23,,,,-1.01,8.8,9.2,,,,,,11720000.0,5020000.0,46.55,,14.8,3.71,0.03,0.17,,,-107.5,4.6,4.6,0.0,0.0,,,,-8.53,1.18,-17.35,-25.43,,12.46,,0.41,10.5,10.93,-5.79,-11.11,-22.55,-22.05,34.51,-54.87,34.51,42.23,10.65,-11.68,,9400.0,1.73,3.43,-2.28,16198.0,Jun 27/b,12.0,6/28/2018
2159,2160,ENV,"Envestnet, Inc.",Services,Business Services,USA,3510000000000.0,,25.92,,4.31,5.3,14.29,41.41,,,-0.43,-49.5,24.02,3.4,15.0,27.3,-319.3,0.9,51360000.0,49670000.0,3.6,-6.08,92.6,2.6,6.3,10.65,-1.6,-3.6,2.5,1.0,1.0,0.48,0.75,67.8,0.8,-2.5,-1.24,0.13,4.56,37.93,24.99,38.99,1.71,1.44,1.78,2.25,-0.07,-0.91,13.82,-5.92,5.18,-5.92,46.81,49.13,0.54,0.44,2.1,293920.0,2.67,68.37,0.99,762605.0,Aug 07/a,74.82,7/29/2010
2160,2161,ENVA,"Enova International, Inc.",Financial,Credit Services,USA,759960000.0,12.06,5.91,,0.66,2.03,8.19,1.03,,0.0,1.91,166.9,14.58,-6.4,,7.8,25.6,15.3,32970000.0,32640000.0,3.6,-4.3,97.3,-1.41,5.83,7.01,5.9,21.9,11.7,11.3,11.3,2.09,2.09,47.8,14.4,6.7,-0.13,5.35,1.01,21.0,-34.61,18.45,2.36,0.76,3.89,3.0,0.15,-4.19,-3.69,-27.86,10.02,-40.9,29.13,47.36,1.72,0.58,,271550.0,2.86,23.05,2.31,750500.0,Jul 25/a,35.2,11/13/2014
2161,2162,ENX,Eaton Vance New York Municipal Bond Fund,Financial,Asset Management,USA,187630000.0,19.54,,,13.6,0.91,,,4.17,,0.61,,,,,,,1.7,15660000.0,,,,29.86,,,0.23,,,,,,,,,,,-0.66,-1.16,1.96,8.71,5.83,8.91,,0.09,0.69,0.7,-0.72,-0.43,4.77,-1.88,3.19,-1.88,13.34,43.31,-0.42,0.25,3.0,23590.0,0.98,11.98,-0.17,23257.0,-,68.24,8/28/2002
2162,2163,ENY,Invesco Canadian Energy Income ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-
2163,2164,ENZ,"Enzo Biochem, Inc.",Healthcare,Medical Laboratories & Research,USA,169810000.0,52.66,,,2.0,1.76,2.65,,,0.0,0.06,-306.8,-1400.0,13.8,,2.2,830.7,-21.8,50390000.0,44040000.0,6.1,3.93,71.0,1.15,2.84,4.89,2.1,2.7,-13.5,5.6,5.1,0.05,0.0,31.4,2.1,2.5,-6.91,9.06,23.44,25.75,-33.4,21.22,1.37,0.25,5.96,7.3,-10.21,-6.41,-1.67,-24.44,11.22,-41.29,45.26,40.92,-5.87,0.28,,255970.0,8.19,3.37,-5.6,1870596.0,Jun 10/a,5.5,6/12/1980
2164,2165,ENZL,iShares MSCI New Zealand ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,5.51,2.08,14.8,9.61,15.99,,0.5,0.5,0.64,3.68,3.44,8.81,0.7,6.29,0.7,22.26,67.66,-0.02,0.74,,60350.0,0.43,53.38,0.72,26111.0,-,,9/2/2010
2165,2166,EOD,Wells Fargo Advantage Funds - Wells Fargo Global Dividend Opportunity Fund,Financial,Closed-End Fund - Equity,USA,246260000.0,,,,,,,,10.77,,,,,,,,,,44940000.0,,,,26.64,,,,,,,,,,,,,,0.37,2.62,4.58,18.36,-2.14,18.1,,0.1,1.45,1.61,0.16,1.61,4.89,-4.53,5.79,-4.53,22.6,53.45,0.18,0.55,,152480.0,1.13,5.48,0.74,171423.0,-,,3/28/2007
2166,2167,EOG,"EOG Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,53450000000000.0,16.08,14.16,1.01,3.06,2.7,47.06,7.49,1.23,14.3,5.79,777.4,18.07,7.6,16.0,3.7,-0.6,9.9,573780000.0,573780000.0,0.4,-0.16,89.3,-0.09,1.94,3.1,10.1,18.2,14.1,1.1,0.9,0.26,0.31,54.8,25.6,19.6,0.86,10.96,-2.12,4.92,-24.83,6.82,1.33,2.53,2.55,2.42,7.05,1.68,-6.93,-13.65,15.86,-30.23,15.86,60.75,1.02,0.12,1.8,3600000.0,1.04,93.16,1.14,3735869.0,Aug 01/a,119.64,10/4/1989
2167,2168,EOI,Eaton Vance Enhanced Equity Income Fund,Financial,Closed-End Fund - Equity,USA,586960000.0,13.34,,,55.98,1.01,,,7.21,,1.12,,,,,,,7.2,39180000.0,,,,15.11,,,,,,,,,,,,,,1.15,5.72,4.32,22.39,-2.21,15.68,,0.17,1.02,1.01,2.55,1.99,4.57,-0.93,7.93,-8.27,31.4,59.51,0.54,0.27,,95130.0,1.21,14.98,0.81,114710.0,-,,10/27/2004
2168,2169,EOLS,"Evolus, Inc.",Healthcare,Drugs - Generic,USA,393420000.0,,,,,5.3,2.94,,,,-2.03,-46.4,45.9,,17.6,,-54.1,,26910000.0,18520000.0,31.8,,15.0,-26.66,22.67,5.22,-29.6,-70.6,,14.8,14.5,1.19,0.0,,,,7.82,4.35,-35.22,32.43,-48.92,22.86,,1.2,7.06,8.55,3.46,-22.13,-21.5,-50.27,16.4,-51.91,43.03,44.14,2.45,-0.7,2.4,804370.0,0.86,14.62,1.74,693351.0,Jul 30/a,26.88,2/8/2018
2169,2170,EOS,Eaton Vance Enhanced Equity Income Fund II,Financial,Closed-End Fund - Equity,USA,,182.69,,,,1.15,,,7.0,,0.09,,,,,,,21.9,,,,,18.18,,,,,,,,,,,,,,1.25,4.68,3.16,22.67,0.3,15.81,,0.25,1.09,1.38,2.72,1.87,3.75,-1.22,8.22,-5.35,31.6,58.63,0.65,0.6,,112020.0,0.79,16.99,1.25,89346.0,-,,1/27/2005
2170,2171,EOT,Eaton Vance National Municipal Opportunities Trust,Financial,Closed-End Fund - Debt,USA,346640000.0,,,,,,,,4.26,,,,,,,,,,15230000.0,,,,10.75,,,,,,,,,,,,,,0.13,1.61,7.77,23.49,12.43,22.5,,0.42,1.52,1.98,-0.98,1.3,8.33,-4.77,5.91,-4.77,24.03,47.9,-1.9,0.78,,30460.0,0.99,22.76,-1.13,30351.0,-,,5/27/2009
2171,2172,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,USA,9450000000000.0,38.64,27.23,2.06,4.87,7.02,,38.66,,0.0,4.48,55.5,21.74,26.6,18.8,27.1,42.3,22.9,54580000.0,51660000.0,3.0,-17.48,,-1.89,2.18,2.39,14.9,19.3,18.0,4.4,4.4,0.02,0.02,35.4,13.5,12.2,-0.56,0.03,2.35,50.47,42.72,49.21,1.44,3.72,1.97,2.2,0.0,0.4,17.39,-4.13,10.14,-4.13,65.22,49.32,-0.05,0.15,2.1,471430.0,1.12,173.1,0.1,524970.0,Aug 08/b,173.38,2/8/2012
2172,2173,EPAY,"Bottomline Technologies (de), Inc.",Technology,Business Software & Services,USA,1940000000000.0,136.97,30.87,,4.61,4.83,20.98,42.1,,0.0,0.32,103.9,7.42,15.8,,9.1,176.5,5.2,43780000.0,41730000.0,1.8,-6.92,98.61,3.23,2.11,3.44,2.7,5.0,1.3,1.6,1.6,0.29,0.0,56.8,1.1,4.1,-4.06,0.25,-11.68,-5.79,-9.68,-7.83,0.99,1.26,2.52,2.87,-1.17,-3.51,-15.3,-13.57,6.17,-40.26,11.21,43.77,-1.25,0.63,2.2,256410.00000000003,2.39,44.24,-0.63,598764.0,Aug 01/a,55.83,2/12/1999
2173,2174,EPC,Edgewell Personal Care Company,Consumer Goods,Personal Products,USA,1460000000000.0,16.61,8.16,23.72,0.67,0.82,5.96,14.28,,0.0,1.62,-2.0,-4.23,-1.5,0.7,-1.8,-27.4,-10.1,54100000.0,53950000.0,0.1,160.1,98.0,-1.35,5.57,3.8,2.0,4.5,4.1,2.0,1.2,0.74,0.74,45.3,5.4,3.7,-3.3,-8.18,-38.6,-28.74,-45.22,-27.84,0.82,0.88,2.47,2.87,-7.73,-20.2,-34.12,-38.99,1.81,-54.45,1.81,26.47,1.13,-0.04,2.8,789420.0,1.72,26.95,1.09,1331758.0,Aug 08/b,38.08,3/27/2000
2174,2175,EPD,Enterprise Products Partners L.P.,Basic Materials,Independent Oil & Gas,USA,62640000000000.0,14.02,13.13,1.46,1.75,2.62,630.78,,6.06,83.5,2.06,46.9,3.68,6.1,9.58,-5.2,39.3,-8.1,2170000000000.0,1490000000000.0,0.3,0.0,37.9,0.8,1.77,7.66,7.9,19.3,10.8,0.8,0.6,1.01,1.12,23.9,16.5,12.6,-0.89,3.66,-0.79,19.1,3.96,17.41,0.86,0.43,1.44,1.42,0.75,0.67,3.42,-1.8,4.6,-3.93,23.75,51.75,0.7,0.17,1.5,3440000.0,0.91,28.87,0.87,3147899.0,Jul 31/b,34.04,7/28/1998
2175,2176,EPHE,iShares MSCI Philippines ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,3.13,3.82,11.74,19.86,11.7,,0.45,0.73,1.03,0.88,3.28,8.36,-1.38,10.52,-1.38,26.95,55.17,-0.17,-1.11,,359650.0,0.91,35.61,-1.28,325312.0,-,,9/29/2010
2176,2177,EPI,WisdomTree India Earnings Fund,Financial,Exchange Traded Fund,USA,,,,,,,,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,-0.95,-1.03,6.28,5.17,5.08,,0.27,0.43,0.67,-0.05,0.96,5.67,-2.65,8.76,-4.19,20.34,51.13,0.0,-0.5,,1540000.0,0.74,26.06,-0.5,1147190.0,-,,2/26/2008
2177,2178,EPIX,ESSA Pharma Inc.,Healthcare,Drug Manufacturers - Other,Canada,283030000.0,,,,,4.22,,,,,-1.73,,,,,,,,115520000.0,2120000.0,,,,,1.15,3.39,,,,,,,,,,,6.52,2.13,-28.12,19.19,-36.95,16.67,,0.14,5.36,4.9,6.8,3.86,-18.57,-16.1,23.74,-45.56,31.02,54.99,0.0,-2.0,,7190.0,0.05,2.45,-2.0,382.0,Aug 09/a,,3/13/2015
2178,2179,EPM,Evolution Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,241880000.0,14.36,17.57,,5.46,2.97,8.17,21.79,5.59,79.7,0.5,98.7,-8.54,17.0,,14.1,-21.8,-6.9,33830000.0,30370000.0,1.0,2.05,74.9,4.21,1.63,4.02,17.4,20.9,17.5,12.1,12.1,0.0,0.0,69.0,42.4,37.6,3.92,16.45,5.93,3.62,-30.58,4.84,1.12,0.22,3.71,3.22,9.31,6.17,-10.71,-2.32,19.37,-44.27,19.37,62.84,-1.92,0.0,2.5,123120.0,4.61,7.15,-1.92,534628.0,Aug 07/a,9.5,1/13/1997
2179,2180,EPOL,iShares MSCI Poland ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,7.76,3.8,3.26,10.0,3.13,,0.33,0.84,0.93,3.14,5.02,2.91,-0.84,12.24,-5.72,13.58,60.98,-0.08,-0.13,,340320.0,0.6,23.75,-0.21,205565.0,-,,5/26/2010
2180,2181,EPP,iShares MSCI Pacific ex Japan ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,4.15,2.9,16.67,4.19,16.04,,0.41,0.35,0.5,2.16,2.29,6.48,-0.27,5.33,-0.27,19.81,58.46,-0.06,-0.19,,639720.0,0.67,47.23,-0.25,428247.0,-,,10/26/2001
2181,2182,EPR,EPR Properties,Financial,REIT - Retail,USA,5610000000000.0,19.93,23.28,2.85,7.9,1.91,505.4,,6.03,116.6,3.74,-0.6,5.33,0.7,7.0,15.4,150.5,6.1,75210000.0,74480000.0,0.9,-4.37,87.5,3.34,2.84,4.48,4.5,9.6,6.7,,,1.05,1.05,94.5,59.6,39.2,-4.03,-3.8,-3.0,15.91,14.63,16.49,0.59,1.26,1.76,1.61,-4.35,-4.34,2.36,-7.63,0.75,-7.63,18.87,30.48,0.28,0.09,2.7,471180.0,1.55,74.59,0.38,720907.0,Jul 29/a,79.43,11/18/1997
